单词,解释
lend,借出，借钱给，从银行贷款
levy,征税
liaison,联系，通奸
linger,徘徊，逗留，比预期长的存在
litter,废弃物，使凌乱，充满的
loaf,一条面包，无事游荡（虚度光阴）
lobby,大厅，大堂，游说团体，进行游说
lodge,小屋，地方分部，提出（抗议，抱怨，建议，要求），租住，安顿，卡住，铭记
lubricate,润滑，促进
luminous,发光的
lure,引诱，魅力
magnitude,重要性，强调，程度，数量级
maneuver,演戏，调遣
manifest,明显的，显示，名单
martyr,烈士，折磨
maternity,孕妇的，母亲身份
mediate,调解，影响
menace,威胁，威吓
midwife,接生婆
mingle,混合，应酬
miniature,微型的
mortal,终有一死的，致命的，凡人
motion,移动，打手势，示意，提议
mutual,相互的，共同的
nail,钉子，指甲，抓住并证明有罪
nominee,提名人，候选人
notorious,臭名昭著的
nuisance,讨厌的人，麻烦的事情
nutrition,营养
on account of,由于
onset,不好的开端
optic,镜片，眼的，视力的
oracle,神谕
oust,弹劾
outgoing,往外去的，快要卸任的，喜欢交际的
outpost,贸易站，前哨基地
outrage,激怒，暴行
overt,公开的，明显的
overtake,追上，赶上，精神上压垮
overthrow,推翻，颠覆
overwhelming,势不可挡的，压倒性的
panic,恐慌
parachute,跳伞，降落伞
paralyze,使瘫痪
pardon,原谅
pathetic,可怜的，悲惨的，软弱的
patriotic,爱国的
patriotism,爱国主义
peculiar,古怪的，独特的
peculiarity,特性，怪癖
penetrate,穿透，渗透，洞察，领悟
perceive,察觉，看作
perception,认识，感知
perfume,香水，香料
permeate,渗透，影响，扩散
perplex,使困惑，迷惑
petition,申请，在法院的伸张，请愿书
petitioner,申请人
petrochemical,石油化学产品
petrol,汽油
petroleum,石油
pine,松鼠，怀念，渴望
pioneer,先锋
pirate,海盗，盗版
pitch,沥青，投郑，定音调，程度强度，迫使进入新境地
plain,草原
planetary,行星的
plea,n.请求，恳求，答辩
plead,v.请求，恳求，答辩
plunge,突然遭受，骤降
polytechnic,理工院校
preclude,杜绝，阻止
predecessor,前辈，前身
preliminary,预备的，初步行动，初赛
premise,经营场所，前提
preside,负责，主持
president,总统
prestige,声望，威望，令人敬仰的
prison,监狱
proclaim,正式宣布，清楚表明
proficient,精通的，熟练的
prominent,杰出的，突出的，显眼的
prone,易于，倾向的
propagate,宣传，传播，繁殖
propel,推进，激励
provincial,过时的，非省会的，非省会人
provision,供应，预备，规定条款
provocative,挑衅的，激怒的，激发性欲的，挑逗的
proximity,接近，临近
prune,修剪，修整，删去，梅干
punctual,准时的
punctuate,不时打断
pupil,学生，弟子，未成年人
queer,古怪的，异常的，同性恋者
race,人种，血统，竞赛
rack,行李架，拷问台，拷问，折磨
recede,退去，质量下降，头发脱落，病情好转
reciprocal,互相的，互惠的
reclaim,收回，开垦，挽救
recount,重新计票，讲述
recreation,休闲，娱乐
recruit,招募，新手
rectify,修正，校订
referee,裁判员，仲裁人
refuge,庇护，避难所，躲避
refute,驳斥，否认
rehearse,排练，默默练习，复述
rejoice,高兴
render,造成，给予，作出判决，翻译，渲染
repressive,专制的，压抑的
reproach,责备，自责，耻辱
resemblance,相似
reshuffle,改组、调整
resort,诉诸于，采取，度假胜地
respective,分别的，各自的
respondent,回答者，被告
retire,退休
retort,反驳
retrieval,取回，恢复
retrieve,取回，挽回，检索信息
retrospect,回顾，回想
revenge,报仇，报复
revive,复苏，复兴，苏醒，重新上演
rope,绳索，捆绑
sabotage,蓄意破坏，故意阻挠
sack,袋子，解雇
sanction,批准，制裁
satisfaction,满意，赔偿
saturate,使充满，浸透，渗透
scarce,缺乏的，供求不足，溜走，回避
scarcity,缺乏，不足
scatter,散播，分散
scenery,风景，布景
scorn,轻蔑，鄙视
scrap,碎片，废弃，报废的
scratch,给挠痒，划伤，划痕，从零开始，绞尽脑汁，触及表面，达到标准
scrub,用力擦洗，擦掉
scrutiny,详细审查
secular,牧师，世俗的
sensation,感觉，知觉，轰动，哗然
sensational,极好的，轰动性的，耸人听闻的
sensible,明智的，理智的，合适的
sensual,物理享受，肉欲的
sentiment,情绪，感想，感伤
shaky,不稳固的，颤抖的
shield,屏障，盾牌，庇护
shore,海岸，区域，境内
shrewd,精明的，敏锐的
sideline,兼职，排除在外，不重视，外围
simplistic,过于简单化的
skeptical,怀疑的
slender,苗条的，不足的
solemn,庄严的，郑重的
solemnity,庄严
spacious,广阔的，宽敞的
speculate,推测，投机
spontaneous,自发的，自然的
spur,马刺，激励，促进
stable,订书钉，基本的，主要的，重要部分
stagger,蹒跚，勉强维持
stale,不新鲜的，污浊的，令人厌倦的
stall,货摊，咨询台，隔间，暂停，拖延
standby,备用
standoff,僵持，僵局
startle,惊吓
steal,窃取，偷取，便宜的东西
steer,驾驶，引导
stern,严厉的，严格的，苛刻的
stipulate,要求必须要做，规定
stricken,受灾的
sturdy,坚固的，强壮的
subsidiary,附属公司，次要的
subsistence,勉强维持生活，生计
substantial,大量的，相当程度的，牢固的
substantive,本质的
suit,套装，适合，诉讼
summon,召唤，召见
susceptible,易收影响的，善变的
suspicious,可疑的
symmetrical,对称的
tactful,有分寸的，考虑周全的
take into account,把...考虑在内
temperature,温度
temporal,世俗的，时间的，太阳穴
tentative,实验性的，犹豫的
transaction,交易，业务
transfer,转移，转换，换乘
transient,短暂的
transit,运输，中转的，过境的
transition,转变，过度
transmission,传送，传递，电视播放，节目
traverse,横穿，穿过
trial,审讯，试验
tribunal,特别法庭
tribute,颂词，贡品，良好结果的体现
trifle,稍微，琐事，乳脂蛋糕
tuck,把...塞入藏入，小吃零食，褶皱
tumble,摔倒，跌落，物价暴跌，水冲刷
tumble into,突然闯入，不知觉的陷入某种状态
turbulent,湍急的，动荡的
unanimous,全体一直，无异议的
unsettle,使不安
upaide down,颠倒，乱七八糟
venerable,令人崇敬的，神圣庄严的
ventilate,使空气流畅，发表看法
veto,否决，否决权
vicinity,邻近
virtuous,有德行的，自命不凡的
voucher,代金券，保证人
vow,誓约，发誓
weigh,权衡，斟酌
weight,重量，负担，重要性
wholesale,批发，大规模的
wholesome,有益健康的，有益身心的
wreckage,残骸，残余
